name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Curious Farm Animals",1,"Creature - Boar Elk Bird Ox",W,"tla","14",common,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144504,false,false,"John Di Giovanni"
"Earth Kingdom Protectors",1,"Creature - Human Soldier Ally",W,"tla","17",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144510,false,false,"Leonardo Borazio"
"Earth Kingdom Protectors",1,"Creature - Human Soldier Ally",W,"tla","17",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144510,false,false,"Leonardo Borazio"
"Faerie Guidemother",1,"Creature - Faerie",W,"eld","274",common,null,Owned,Non-foil,mainboard,false,,,"⚛️ GUT;✨ Fantasia;👑 LOL","",-1,false,false,"Chuck Lukacs"
"Giant Killer",1,"Creature - Human Peasant",W,"eld","275",rare,null,Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",-1,false,false,"Shawn Wood"
"Momo, Friendly Flier",1,"Legendary Creature - Lemur Bat Ally",W,"tla","317",rare,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",145136,false,false,"Filip Burburan"
"Momo, Playful Pet",1,"Legendary Creature - Lemur Bat Ally",W,"tla","30",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144538,false,false,"Awanqi (Angela Wang)"
"Compassionate Healer",2,"Creature - Human Cleric Ally",W,"tla","13",common,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144502,false,false,"Kuno"
"Compassionate Healer",2,"Creature - Human Cleric Ally",W,"tla","13",common,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144502,false,false,"Kuno"
"Invasion Reinforcements",2,"Creature - Human Warrior Ally",W,"tla","24",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144524,false,false,"Yuhong Ding"
"Invasion Reinforcements",2,"Creature - Human Warrior Ally",W,"tla","24",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144524,false,false,"Yuhong Ding"
"Invasion Reinforcements",2,"Creature - Human Warrior Ally",W,"tla","24",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144524,false,false,"Yuhong Ding"
"Jeong Jeong's Deserters",2,"Creature - Human Rebel Ally",W,"tla","25",common,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144526,false,false,"Leonardo Borazio"
"Professor of Symbology",2,"Creature - Kor Cleric",W,"stx","24",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia;🔥 Banger","",88525,false,false,"Jason Rainville"
"Shepherd of the Flock",2,"Creature - Human Peasant",W,"eld","278",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"⚛️ GUT;✨ Fantasia;👑 LOL","",-1,false,false,"Craig J Spearing"
"South Pole Voyager",2,"Creature - Human Scout Ally",W,"tla","35",rare,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144548,false,false,"Tition"
"South Pole Voyager",2,"Creature - Human Scout Ally",W,"tla","35",rare,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144548,false,false,"Tition"
"South Pole Voyager",2,"Creature - Human Scout Ally",W,"tla","35",rare,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144548,false,false,"Tition"
"Water Tribe Rallier",2,"Creature - Human Soldier Ally",W,"tla","42",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144562,false,false,"Boell Oyino"
"Water Tribe Rallier",2,"Creature - Human Soldier Ally",W,"tla","42",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144562,false,false,"Boell Oyino"
"Water Tribe Rallier",2,"Creature - Human Soldier Ally",W,"tla","42",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",144562,false,false,"Boell Oyino"
"Aven Interrupter",3,"Creature - Bird Rogue",W,"otj","4",rare,null,Not Owned,Non-foil,mainboard,false,,,"✨ Fantasia","",123919,false,false,"Daniel Romanovsky"
