name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Choco-Comet",2,"Sorcery",R,"fin","132",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",141199,false,false,"Fiona Hsieh"
"Nibelheim Aflame",4,"Sorcery",R,"fin","339",mythic,null,Not Owned,Non-foil,mainboard,false,,,"","",142081,false,false,"Rindo Karasuba"
"Call the Mountain Chocobo",4,"Sorcery",R,"fin","131",common,null,Not Owned,Non-foil,mainboard,false,,,"","",141197,false,false,"Randy Gallegos"
"Sorceress's Schemes",4,"Sorcery",R,"fin","159",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",141257,false,false,"Jessica Fong"
"Clear the Mind",3,"Sorcery",U,"plst","RNA-34",common,null,Not Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"David Palumbo"
"Circle of Power",4,"Sorcery",B,"fin","583",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Josephine Chang"
"Sephiroth's Intervention",4,"Instant",B,"fin","116",common,null,Not Owned,Non-foil,mainboard,false,,,"","",140917,false,false,"Joshua Raphael"
"Shinra Reinforcements",3,"Creature - Human Soldier",B,"fin","118",common,null,Not Owned,Non-foil,mainboard,false,,,"","",141165,false,false,"Airi Yoshihisa"
"Black Mage's Rod",2,"Artifact - Equipment",B,"fin","90",common,null,Not Owned,Non-foil,mainboard,false,,,"","",141109,false,false,"Nino Is"
"Magitek Armor",4,"Artifact - Vehicle",W,"fin","24",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",140969,false,false,"Nathaniel Himawan"
"Seifer Almasy",4,"Legendary Creature - Human Knight",R,"fin","534",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Rika Suzuki"
"Moogles' Valor",5,"Instant",W,"fin","326",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",142053,false,false,"Yoshiya"
"Town Greeter",2,"Creature - Human Citizen",G,"fin","209",common,null,Not Owned,Non-foil,mainboard,false,,,"","",141361,false,false,"Hayaken-Sarena"
"Nature's Rhythm",2,"Sorcery",G,"tdm","150",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",139257,false,false,"Liiga Smilshkalne"
"Balustrade Wurm",5,"Creature - Wurm",G,"dsk","168",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",130467,false,false,"Maxime Minard"
"Overlord of the Balemurk",5,"Enchantment Creature - Avatar Horror",B,"dsk","113",mythic,null,Not Owned,Non-foil,mainboard,false,,,"","",130357,false,false,"Babs Webb"
"Overlord of the Mistmoors",7,"Enchantment Creature - Avatar Horror",W,"dsk","23",mythic,null,Not Owned,Non-foil,mainboard,false,,,"","",130177,false,false,"Steven Belledin"
"Overlord of the Floodpits",5,"Enchantment Creature - Avatar Horror",U,"dsk","68",mythic,null,Not Owned,Non-foil,mainboard,false,,,"","",130267,false,false,"Abz J Harding"
"Valgavoth's Onslaught",1,"Sorcery",G,"dsk","204",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",130539,false,false,"Lie Setiawan"
"Demon Wall",2,"Artifact Creature - Demon Wall",B,"fin","97",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",141125,false,false,"Anton Solovianchyk"
"Unholy Annex // Ritual Chamber",8,"Enchantment - Room",B,"dsk","118",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",130367,false,false,"Matteo Bassini"
"The Swarmweaver",4,"Legendary Artifact Creature - Scarecrow",BG,"dsk","236",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",130603,false,false,"Helge C. Balzer"
"Under the Skin",3,"Sorcery",G,"dsk","203",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",130537,false,false,"Fernando Falcone"
"Unnerving Grasp",3,"Sorcery",U,"dsk","80",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",130291,false,false,"Jeremy Wilson"
"Broodspinner",2,"Creature - Spider",BG,"dsk","211",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",130553,false,false,"Igor Krstic"
"Wildfire Wickerfolk",2,"Artifact Creature - Scarecrow",GR,"dsk","239",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",130609,false,false,"J.Lonnee"
"Dragoon's Lance",2,"Artifact - Equipment",W,"fin","17",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",140955,false,false,"Josephine Chang"
"Cenote Scout",1,"Creature - Merfolk Scout",G,"lci","178",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"⚔️Enemies","",118180,false,false,"Caroline Gariba"
"Merfolk Branchwalker",2,"Creature - Merfolk Scout",G,"j25","688",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Kieran Yanner"
"Jadelight Ranger",3,"Creature - Merfolk Scout Ranger",G,"j25","676",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Jason Rainville"
"Jadelight Spelunker",1,"Creature - Merfolk Scout",G,"lci","196",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",118222,false,false,"Izzy"
"Exdeath, Void Warlock",3,"Legendary Creature - Spirit Warlock",BG,"fin","220",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"","",141391,false,false,"Jessica Fong"
"Jenova, Ancient Calamity",4,"Legendary Creature - Alien",BG,"fin","346",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",142095,false,false,"Karo ARAI"
"Kefka's Tower",6,"Legendary Artifact",B,"fca","7",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",139877,false,false,"Yoshitaka Amano"
"Abundant Harvest",1,"Sorcery",G,"cmm","269",common,null,Owned,Non-foil,mainboard,false,,,"","",114765,false,false,"Iris Compiet"
