name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Guide of Souls",1,"Creature - Human Cleric",W,"mh3","29",rare,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",126075,false,false,"Ryan Valle"
"Ocelot Pride",1,"Creature - Cat",W,"mh3","38",mythic,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",126093,false,false,"Chris Seaman"
"Giver of Runes",1,"Creature - Kor Cleric",W,"mb2","147",rare,null,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",134218,false,false,"Seb McKinnon"
"Mother of Runes",1,"Creature - Human Cleric",W,"plst","ULG-14",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Scott M. Fischer"
"Luminarch Aspirant",2,"Creature - Human Cleric",W,"znr","24",rare,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",82987,false,false,"Mads Ahm"
"Ajani, Nacatl Pariah",2,"Legendary Creature - Cat Warrior",W,"mh3","237",mythic,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",126493,false,false,"Chris Rallis"
"Voice of Victory",2,"Creature - Human Bard",W,"tdm","33",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",139011,false,false,"Joshua Cairos"
"Elite Spellbinder",3,"Creature - Human Cleric",W,"stx","17",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",88511,false,false,"Ryan Pancoast"
"Sanguine Evangelist",3,"Creature - Vampire Cleric",W,"lci","34",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",117850,false,false,"Zezhou Chen"
"Clarion Conqueror",3,"Creature - Dragon",W,"tdm","5",rare,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",138953,false,false,"Nathaniel Himawan"
"Elspeth, Storm Slayer",5,"Legendary Planeswalker - Elspeth",W,"tdm","11",mythic,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",138965,false,false,"Ekaterina Burmak"
"Swords to Plowshares",1,"Instant",W,"lea","40",uncommon,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Jeff A. Menges"
"Path to Exile",1,"Instant",W,"con","15",uncommon,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",31733,false,false,"Todd Lockwood"
"Reprieve",2,"Instant",W,"soa","9",uncommon,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",148325,false,false,"Alex Stone"
"Prismatic Ending",1,"Sorcery",W,"mh2","25",uncommon,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",90419,false,false,"John Stanko"
"Oust",1,"Sorcery",W,"roe","40",uncommon,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",36682,false,false,"Mike Bierek"
