draft	player	kind	url
Draft 1	Arason	rebuild	https://sealeddeck.tech/i4VYQM6g3k
Draft 1	Stardust2187	initial	https://sealeddeck.tech/LRu5pYPwd6
Draft 1	Stardust2187	rebuild	https://sealeddeck.tech/Z6uSeVtAA5
Draft 1	Mark	rebuild	https://sealeddeck.tech/sAvK3KH4MN
Draft 1	Raybees	initial	https://sealeddeck.tech/fL4XY6c9wA
Draft 1	Raybees	rebuild	https://sealeddeck.tech/fj6DuHeSFA
Draft 1	Flooey	initial	https://sealeddeck.tech/TstYTf6SQD
Draft 1	Flooey	rebuild	https://sealeddeck.tech/K2MHMSxFCm
Draft 1	BladeTheKing	initial	https://sealeddeck.tech/SF3ku7NEgv
Draft 1	DefeatistElitist	initial	https://sealeddeck.tech/vcKRdYuMfd
Draft 1	DefeatistElitist	rebuild	https://sealeddeck.tech/CqqxmbgYpZ
Draft 1	mattimedes	initial	https://sealeddeck.tech/wFD9hCxotR
Draft 1	Jack Heart	initial	https://sealeddeck.tech/e2w1zGAVFv
Draft 1	Jack Heart	rebuild	https://sealeddeck.tech/Z83djMJE8p
Draft 2	imrahil327	initial	https://sealeddeck.tech/8qkzFGtcdy
Draft 2	lordtupperware	initial	https://sealeddeck.tech/zfopLEy1rr
Draft 2	j_mazz_2020	initial	https://sealeddeck.tech/oP6rqEuF5v
Draft 2	tox 🍉	initial	https://sealeddeck.tech/wzr39gQM7q
Draft 2	tox 🍉	rebuild	https://sealeddeck.tech/oqGC1e1L8c
Draft 2	loosterbooster	initial	https://sealeddeck.tech/tmnL2J79UD
Draft 2	Aviseras	initial	https://sealeddeck.tech/DvZPH2YZhk
Draft 2	Aviseras	rebuild	https://sealeddeck.tech/rR9wf49PcV
Draft 2	Dawn	initial	https://sealeddeck.tech/BYcUyChzHA
Draft 2	Dawn	rebuild	https://sealeddeck.tech/4iAyhx24Bk
Draft 2	roc	initial	https://sealeddeck.tech/Lqa4unymdP
Draft 2	roc	rebuild	https://sealeddeck.tech/VMvQ3bT4GJ
Draft 2	aefunk	initial	https://sealeddeck.tech/52PbQGaJYt
Draft 3	bengolds	initial	https://sealeddeck.tech/raXbuphY6N
Draft 3	FOOMP	initial	https://sealeddeck.tech/1ki5BgQQKn
Draft 3	Sefrox	initial	https://sealeddeck.tech/wLKscAeaoV
Draft 3	Maxim Sinistral	initial	https://sealeddeck.tech/LywUmCXwCy
Draft 3	llich	initial	https://sealeddeck.tech/bBZqzE4r6V
Draft 3	Greg	initial	https://sealeddeck.tech/Tkrc683R4E
Draft 3	ColdBrewNate	initial	https://sealeddeck.tech/wcWZs4pA3R
Draft 3	guilom	initial	https://sealeddeck.tech/4q4tYZ4BAz
Draft 3	Melissa	initial	https://sealeddeck.tech/HHgEzwv3c7
Draft 3	Balbadorf	ocr	https://sealeddeck.tech/manual-balbadorf-d3
