cards	theme
Adeline, Resplendent Cathar|Enduring Innocence|Esper Sentinel	Aggro
Adeline, Resplendent Cathar|Enduring Innocence|Glimmer Lens	Value
Adeline, Resplendent Cathar|Enduring Innocence|Intrepid Adversary	Aggro
Adeline, Resplendent Cathar|Enduring Innocence|Luminarch Aspirant	Aggro
Adeline, Resplendent Cathar|Enduring Innocence|Skyclave Apparition	Aggro
Adeline, Resplendent Cathar|Enduring Innocence|Staff of the Storyteller	Value
Adeline, Resplendent Cathar|Esper Sentinel|Glimmer Lens	Aggro
Adeline, Resplendent Cathar|Esper Sentinel|Luminarch Aspirant	Aggro
Adeline, Resplendent Cathar|Glimmer Lens|Luminarch Aspirant	Aggro
Adeline, Resplendent Cathar|Glimmer Lens|Staff of the Storyteller	Value
Adeline, Resplendent Cathar|Intrepid Adversary|Novice Inspector|Witch Enchanter	Aggro
Adeline, Resplendent Cathar|Intrepid Adversary|Sanguine Evangelist	Aggro
Adeline, Resplendent Cathar|Intrepid Adversary|Staff of the Storyteller	Aggro
Adeline, Resplendent Cathar|Staff of the Storyteller|Witch Enchanter	Aggro
Adeline, Resplendent Cathar|Voice of Victory	Tokens
Badgermole Cub|Birds of Paradise|Llanowar Elves	Ramp
Badgermole Cub|Sentinel of the Nameless City|Springheart Nantuko	Value
Baleful Strix|Lutri, the Spellchaser	Blink/ETB
Birds of Paradise|Green Sun's Zenith|Llanowar Elves	Ramp
Birds of Paradise|Llanowar Elves|Primal Might	Ramp
Bitterblossom|Forsaken Miner|Mayhem Devil|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Bitterblossom|Jadar, Ghoulcaller of Nephalia|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Bitterblossom|Marionette Apprentice|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Bitterblossom|Priest of Forgotten Gods|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Bitterblossom|Sephiroth, Fabled SOLDIER|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Bitterblossom|The Meathook Massacre|Warren Soultrader|Yawgmoth, Thran Physician	Sacrifice
Bloodghast|Bone Shards|Forsaken Miner|Sephiroth, Fabled SOLDIER	Sacrifice
Bloodghast|Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Marionette Apprentice|Mayhem Devil|Yawgmoth, Thran Physician	Sacrifice
Bloodghast|Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Mayhem Devil|Priest of Forgotten Gods|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Bloodghast|Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Mayhem Devil|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Bloodghast|Forsaken Miner|Priest of Forgotten Gods|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Bloodghast|Forsaken Miner|Priest of Forgotten Gods|Warren Soultrader|Yawgmoth, Thran Physician	Sacrifice
Bloodghast|Forsaken Miner|Sephiroth, Fabled SOLDIER|Warren Soultrader	Sacrifice
Bone Shards|Chthonian Nightmare|Jadar, Ghoulcaller of Nephalia|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Bone Shards|Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Bone Shards|Jadar, Ghoulcaller of Nephalia|Marionette Apprentice|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Bone Shards|Jadar, Ghoulcaller of Nephalia|Sephiroth, Fabled SOLDIER|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Bone Shards|Marionette Apprentice|The Meathook Massacre	Sacrifice
Bone Shards|Sephiroth, Fabled SOLDIER|Warren Soultrader	Sacrifice
Brainstorm|Kiora, the Rising Tide|Proft's Eidetic Memory	Draw
Bristly Bill, Spine Sower|Fanatic of Rhonas|Sandman, Shifting Scoundrel	Graveyard
Bristly Bill, Spine Sower|Ignoble Hierarch|Malevolent Rumble	Value
Bristly Bill, Spine Sower|Ignoble Hierarch|Scythecat Cub	Landfall
Burst Lightning|Chain Lightning	Removal
Chthonian Nightmare|Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Chthonian Nightmare|Jadar, Ghoulcaller of Nephalia|Marionette Apprentice|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Chthonian Nightmare|Jadar, Ghoulcaller of Nephalia|Sephiroth, Fabled SOLDIER|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
