card	theme
Bastion of Remembrance	Sacrifice
Biomechan Engineer	Ramp
Broodspinner	Graveyard
Censor	Discard
Cloud of Darkness	Ramp
Consider	Spells
Courier's Briefcase	Ramp
Deadly Dispute	Sacrifice
Demon Bolt	Spells
Disruptive Stormbrood	Graveyard
Dog Walker	Tokens
Dovin's Acuity	Spells
Eccentric Farmer	Graveyard
Everything Pizza	Ramp
Evolving Wilds	Ramp
Expressive Iteration	Spells
Fires of Invention	Ramp
Flooded Strand	Spells
Forbidden Friendship	Tokens
Generous Ent	Graveyard
Hallowed Fountain	Spells
Hopeless Nightmare	Rectangles
Hunter's Talent	Ramp
Inspiring Overseer	Tokens
Jwari Disruption	Spells
Marionette Apprentice	Sacrifice
Marshals' Pathcruiser	Ramp
Mayhem Devil	Sacrifice
Michiko's Reign of Truth	Rectangles
Mystic Sanctuary	Spells
On the Job	Tokens
Painter's Studio // Defaced Gallery	Tokens
Path to the World Tree	Ramp
Pyrrhic Strike	Spells
Quench	Discard
Rally at the Hornburg	Tokens
Raugrin Triome	Spells
Resolute Reinforcements	Tokens
Rise of the Varmints	Graveyard
Sacred Foundry	Tokens
Salt Road Packbeast	Tokens
Satyr Wayfinder	Graveyard
Scalding Tarn	Spells
Shadowy Backstreet	Rectangles
Shattered Landscape	Sacrifice
Shock Brigade	Tokens
Shoreline Looter	Discard
Spider Spawning	Graveyard
Think Twice	Spells
Thundering Falls	Spells
Verdant Catacombs	Graveyard
Voice of Victory	Sacrifice
Writhing Chrysalis	Ramp
